sale_id,customer_id,product_id,order_date,quantity
1,265,209,2025-03-06,125
2,462,208,2024-06-10,26
3,324,9,2023-09-26,99
4,690,61,2025-02-26,230
5,7,33,2023-11-06,119
6,47,38,2024-11-08,7
7,951,258,2025-06-23,98
8,297,155,2024-03-10,172
9,89,145,2025-03-21,196
10,391,203,2024-01-24,63
11,486,81,2024-10-12,181
12,226,70,2024-08-20,192
13,816,280,2024-05-04,169
14,984,74,2023-10-26,174
15,694,192,2024-11-13,220
16,567,285,2024-09-13,178
17,127,22,2025-06-17,67
18,587,202,2024-10-01,196
19,561,44,2025-05-31,72
20,216,177,2024-03-03,18
21,423,263,2023-08-30,151
22,165,95,2025-02-25,20
23,632,130,2025-05-06,67
24,118,93,2024-05-19,58
25,873,28,2023-10-25,213
26,473,282,2024-05-27,55
27,298,35,2024-12-21,175
28,101,102,2023-07-24,38
29,499,170,2024-07-13,88
30,132,121,2025-04-07,82
31,292,36,2025-03-03,49
32,326,249,2025-05-29,156
33,337,157,2024-08-25,70
34,157,290,2024-07-11,160
35,374,162,2025-05-01,16
36,173,3,2023-08-31,92
37,253,114,2023-09-23,33
38,284,185,2023-08-31,69
39,696,170,2024-02-14,174
40,474,229,2025-04-24,153
41,794,157,2024-12-05,234
42,565,56,2023-10-11,90
43,662,42,2024-04-04,225
44,880,72,2024-10-23,220
45,202,135,2023-10-03,201
46,745,39,2025-04-18,191
47,870,260,2024-03-01,43
48,833,298,2024-10-01,51
49,415,109,2024-07-27,117
50,565,134,2025-01-06,56
51,916,277,2024-04-02,78
52,670,77,2025-05-21,240
53,402,115,2023-09-05,56
54,751,149,2023-10-22,39
55,476,257,2025-02-14,239
56,93,204,2024-10-16,243
57,515,6,2024-12-24,48
58,869,85,2024-08-19,88
59,144,229,2025-02-13,214
60,184,290,2025-01-26,249
61,676,75,2023-08-30,143
62,962,184,2025-01-14,247
63,225,250,2023-12-26,136
64,65,136,2024-08-23,79
65,240,22,2023-11-08,2
66,531,185,2024-09-28,74
67,481,233,2025-02-14,117
68,41,166,2024-08-07,129
69,721,267,2023-11-02,9
70,855,135,2024-01-09,148
71,558,292,2025-06-14,156
72,386,194,2024-12-25,132
73,602,40,2024-11-27,141
74,258,193,2025-05-11,51
75,529,208,2023-11-17,72
76,837,177,2024-03-09,173
77,812,247,2024-11-18,226
78,7,257,2024-03-17,155
79,451,85,2025-01-28,223
80,79,264,2025-07-16,56
81,217,77,2023-07-25,58
82,162,186,2025-04-05,77
83,735,61,2024-07-30,89
84,425,170,2024-11-15,144
85,494,246,2025-01-04,129
86,216,83,2023-12-22,159
87,23,125,2023-10-17,166
88,131,294,2023-09-10,10
89,165,69,2023-07-20,112
90,41,294,2023-11-15,102
91,58,86,2024-10-30,159
92,945,93,2025-06-02,177
93,982,208,2023-10-22,70
94,993,289,2024-08-26,243
95,900,146,2023-10-03,102
96,222,230,2024-01-28,124
97,483,247,2023-12-25,165
98,225,211,2023-10-08,201
99,147,299,2024-07-21,83
100,639,262,2023-08-08,148
101,172,176,2025-04-26,97
102,611,36,2024-08-15,55
103,388,198,2024-06-28,198
104,112,9,2024-05-18,192
105,536,259,2023-09-01,3
106,847,77,2025-07-08,38
107,99,91,2023-10-22,88
108,924,20,2024-03-08,106
109,516,61,2024-05-29,10
110,494,67,2024-07-29,161
111,553,1,2023-12-09,118
112,535,216,2025-04-17,226
113,896,23,2024-01-18,180
114,440,118,2025-05-03,134
115,809,196,2025-05-08,137
116,604,295,2024-09-16,98
117,436,69,2024-02-07,95
118,489,120,2025-04-18,5
119,291,279,2024-11-06,107
120,264,97,2024-12-30,64
121,727,4,2024-06-25,82
122,536,61,2025-05-17,47
123,8,193,2024-12-12,14
124,705,162,2024-11-10,181
125,371,55,2023-10-23,156
126,437,300,2024-06-19,171
127,268,275,2023-11-10,143
128,579,188,2024-11-25,129
129,283,204,2023-08-05,68
130,424,283,2023-12-10,42
131,495,92,2023-11-07,56
132,573,285,2025-04-15,102
133,260,158,2025-02-17,71
134,353,204,2024-12-11,21
135,876,61,2024-01-22,250
136,458,83,2023-11-29,249
137,220,261,2024-08-20,130
138,805,174,2025-02-15,53
139,629,27,2025-01-13,203
140,399,3,2024-09-16,218
141,844,75,2023-12-22,134
142,949,223,2024-07-23,115
143,66,135,2024-07-27,33
144,380,41,2024-03-01,163
145,39,197,2024-02-29,169
146,629,267,2024-12-19,139
147,729,30,2023-10-05,202
148,656,254,2024-10-19,20
149,11,104,2024-08-05,193
150,293,100,2024-04-30,175
151,803,262,2024-12-19,44
152,716,119,2024-02-18,130
153,174,19,2024-05-18,19
154,245,1,2024-05-14,173
155,89,142,2025-01-11,87
156,362,203,2025-04-01,90
157,601,103,2023-10-11,24
158,16,36,2024-07-14,194
159,563,146,2024-06-07,15
160,937,299,2025-04-11,24
161,356,142,2024-06-13,43
162,621,100,2023-11-12,222
163,953,207,2023-08-10,152
164,5,134,2024-02-25,192
165,417,260,2024-07-09,111
166,573,38,2023-10-21,225
167,302,175,2024-09-30,62
168,823,263,2024-05-17,100
169,898,276,2023-07-28,67
170,257,227,2024-10-12,125
171,577,248,2024-03-11,155
172,776,174,2023-08-15,212
173,698,236,2024-12-02,233
174,883,15,2024-12-06,243
175,120,133,2025-06-12,76
176,392,113,2024-12-11,46
177,820,162,2024-11-12,67
178,979,181,2024-06-29,38
179,549,5,2023-08-22,47
180,255,148,2025-06-24,79
181,409,176,2025-06-23,24
182,568,92,2024-04-20,184
183,322,182,2023-11-05,209
184,916,294,2024-07-17,157
185,188,98,2025-06-04,109
186,755,103,2025-01-31,139
187,754,124,2024-07-10,140
188,212,118,2024-02-20,232
189,855,128,2023-07-27,43
190,365,80,2023-11-19,218
191,123,41,2024-04-22,225
192,629,4,2024-08-11,231
193,981,22,2025-05-14,246
194,381,162,2025-05-18,11
195,920,295,2024-08-13,132
196,503,94,2023-12-30,144
197,287,204,2024-04-15,68
198,769,296,2025-06-20,71
199,56,270,2025-01-18,197
200,490,277,2024-08-30,82
201,515,178,2024-05-18,61
202,882,90,2024-08-21,130
203,1000,62,2023-09-06,246
204,472,162,2023-12-02,41
205,13,108,2024-12-10,13
206,595,52,2023-11-14,216
207,371,133,2024-04-18,199
208,562,135,2024-12-10,74
209,276,242,2025-01-28,30
210,352,188,2024-09-29,189
211,511,218,2024-04-08,126
212,430,191,2024-07-10,29
213,875,206,2025-01-25,36
214,462,93,2025-05-16,187
215,135,295,2025-03-22,131
216,834,52,2023-11-05,194
217,824,121,2024-02-21,146
218,443,196,2025-03-20,91
219,150,77,2025-03-03,242
220,826,5,2024-12-12,56
221,432,256,2024-03-11,105
222,915,265,2025-07-06,235
223,738,162,2024-05-20,105
224,308,129,2023-09-10,162
225,880,291,2025-06-30,142
226,408,51,2025-05-01,186
227,62,111,2024-12-02,10
228,488,50,2024-07-29,133
229,763,172,2024-05-07,122
230,370,185,2024-07-20,207
231,571,132,2024-11-01,72
232,21,211,2024-12-12,3
233,360,102,2023-12-07,155
234,590,276,2024-10-09,123
235,800,146,2025-01-20,162
236,333,262,2025-07-09,79
237,794,229,2024-08-16,92
238,391,147,2025-03-13,7
239,647,75,2024-12-12,173
240,656,173,2024-08-31,77
241,647,293,2024-02-06,12
242,870,37,2023-10-28,173
243,166,176,2025-01-11,78
244,322,163,2024-03-27,2
245,728,137,2024-10-19,233
246,661,203,2024-10-13,70
247,909,228,2024-04-15,75
248,766,267,2024-10-15,222
249,424,86,2024-11-10,229
250,875,12,2025-04-24,95
251,746,121,2024-05-28,17
252,964,41,2023-09-10,5
253,171,204,2023-08-23,116
254,98,33,2023-08-11,225
255,562,28,2025-05-11,167
256,790,204,2025-02-08,205
257,784,43,2023-11-20,169
258,269,80,2024-01-15,140
259,671,200,2023-10-02,149
260,235,127,2024-12-17,188
261,454,65,2023-10-10,202
262,540,88,2024-08-10,82
263,36,183,2025-07-14,56
264,885,244,2024-12-28,109
265,999,277,2024-07-24,111
266,562,228,2024-03-27,7
267,993,277,2025-03-01,55
268,606,234,2024-01-15,55
269,446,269,2025-03-10,20
270,318,178,2025-04-08,2
271,553,117,2025-07-01,37
272,453,158,2025-02-08,234
273,423,134,2025-03-28,64
274,311,6,2024-01-19,20
275,536,70,2023-10-09,110
276,294,241,2025-06-17,147
277,9,252,2025-06-03,132
278,307,5,2023-12-02,250
279,818,150,2025-02-04,141
280,237,4,2025-06-12,15
281,383,97,2024-05-13,243
282,904,288,2025-02-26,9
283,405,128,2024-06-10,38
284,733,200,2025-07-05,14
285,226,135,2023-09-07,176
286,433,123,2023-09-06,155
287,783,140,2024-11-06,83
288,665,273,2024-01-30,89
289,423,97,2023-10-16,14
290,187,70,2023-08-18,72
291,114,234,2025-05-07,107
292,464,140,2025-02-21,238
293,504,97,2023-09-14,34
294,20,78,2024-06-26,16
295,993,274,2025-03-03,214
296,191,53,2024-05-05,176
297,276,65,2024-11-02,87
298,745,5,2024-11-21,227
299,93,78,2025-05-02,47
300,506,112,2023-08-11,139
301,431,160,2025-07-06,194
302,381,238,2023-12-02,59
303,339,42,2024-03-25,146
304,58,137,2023-10-11,56
305,74,279,2025-01-12,27
306,186,99,2024-07-03,207
307,837,196,2024-05-08,76
308,125,128,2023-10-31,103
309,790,227,2024-11-26,49
310,756,18,2024-10-07,190
311,472,49,2024-09-24,200
312,682,107,2023-12-22,219
313,399,160,2023-12-19,136
314,163,22,2024-02-01,144
315,534,63,2024-08-04,170
316,493,153,2024-06-23,119
317,370,27,2024-12-28,9
318,997,58,2024-02-27,95
319,649,223,2024-01-11,220
320,16,86,2023-12-23,88
321,599,62,2025-02-15,169
322,809,125,2023-11-22,196
323,993,22,2024-06-21,130
324,803,244,2025-04-12,133
325,159,191,2024-09-02,160
326,255,81,2025-04-08,13
327,94,174,2025-03-24,3
328,62,183,2023-12-16,243
329,719,275,2023-09-24,214
330,129,250,2024-10-14,200
331,325,286,2023-08-07,189
332,825,225,2024-11-19,139
333,22,194,2024-12-20,204
334,742,69,2023-10-02,19
335,921,21,2023-12-25,77
336,724,225,2023-08-14,159
337,302,278,2025-04-09,160
338,195,291,2023-11-06,111
339,557,179,2025-06-12,98
340,750,240,2023-07-24,172
341,889,284,2024-04-24,117
342,71,272,2025-03-12,220
343,461,152,2024-05-31,206
344,555,188,2024-10-03,109
345,1,260,2024-09-16,138
346,752,95,2025-05-21,159
347,635,187,2023-09-13,216
348,245,165,2024-04-09,125
349,675,276,2023-12-10,131
350,195,269,2024-12-31,161
351,785,283,2025-02-05,172
352,628,145,2025-06-26,121
353,420,165,2025-02-04,213
354,99,268,2024-11-29,124
355,45,67,2024-09-02,225
356,895,17,2024-08-08,76
357,110,249,2023-12-14,96
358,102,17,2025-04-26,187
359,658,199,2023-12-28,45
360,539,132,2024-10-05,63
361,376,114,2025-04-22,144
362,736,37,2024-07-21,220
363,953,107,2024-08-12,11
364,951,41,2024-04-18,184
365,821,32,2024-04-21,84
366,572,213,2024-11-11,119
367,814,30,2025-06-17,171
368,273,271,2024-09-25,121
369,752,37,2025-05-12,170
370,80,111,2023-11-04,67
371,100,52,2025-04-02,134
372,545,198,2023-09-10,232
373,198,270,2024-06-24,158
374,584,92,2024-06-16,197
375,768,286,2024-11-16,15
376,765,55,2024-05-07,141
377,367,235,2025-05-28,38
378,905,54,2023-09-13,3
379,812,93,2024-10-04,150
380,412,259,2023-09-18,130
381,674,81,2023-10-26,171
382,615,227,2025-03-18,123
383,925,162,2024-08-24,132
384,333,191,2024-03-07,22
385,783,221,2023-10-06,27
386,624,124,2023-10-19,134
387,559,110,2024-08-10,215
388,785,282,2024-01-15,103
389,369,232,2023-08-28,90
390,983,204,2024-10-29,222
391,744,18,2024-09-11,19
392,611,9,2024-04-02,121
393,139,155,2023-08-06,197
394,308,114,2024-01-10,184
395,877,162,2025-04-17,118
396,791,142,2025-07-19,217
397,524,285,2024-03-01,204
398,949,293,2025-07-05,233
399,97,20,2025-04-23,160
400,365,80,2024-01-31,203
401,272,188,2024-05-18,53
402,256,120,2025-01-16,140
403,831,154,2024-04-22,100
404,585,205,2023-09-10,240
405,940,112,2025-05-27,6
406,741,167,2025-05-26,154
407,178,250,2023-11-19,154
408,840,49,2024-02-28,188
409,658,154,2023-09-16,119
410,749,296,2024-09-07,132
411,81,29,2024-10-08,55
412,357,223,2024-01-23,173
413,953,62,2025-05-12,43
414,766,6,2024-08-25,106
415,56,157,2025-07-12,114
416,43,164,2024-11-05,106
417,579,77,2024-08-11,35
418,515,114,2024-03-18,115
419,52,202,2024-05-25,119
420,771,295,2024-11-11,24
421,93,114,2023-09-01,211
422,297,202,2024-09-16,190
423,136,173,2025-01-11,70
424,488,293,2025-06-11,33
425,562,205,2023-10-14,69
426,88,205,2024-10-14,160
427,445,67,2024-07-19,249
428,493,287,2025-07-16,122
429,500,203,2025-07-01,19
430,201,288,2024-02-09,49
431,754,269,2024-12-08,3
432,249,37,2023-08-12,224
433,796,221,2023-08-14,186
434,702,295,2024-04-07,110
435,116,212,2024-06-11,128
436,375,179,2024-02-07,248
437,329,177,2023-12-22,144
438,672,13,2024-04-04,11
439,174,180,2025-06-08,131
440,842,227,2025-03-04,92
441,150,226,2023-09-04,177
442,947,120,2023-11-05,90
443,702,192,2023-12-25,104
444,776,44,2024-09-16,195
445,758,28,2025-04-14,248
446,972,76,2025-02-09,11
447,15,176,2024-04-01,89
448,313,231,2025-07-06,42
449,24,170,2025-02-27,248
450,758,276,2024-12-16,25
451,209,280,2025-06-27,100
452,769,133,2025-06-01,234
453,495,73,2023-09-06,135
454,386,299,2024-01-19,33
455,45,131,2024-08-06,132
456,62,146,2023-09-14,12
457,809,139,2025-04-05,117
458,477,5,2024-09-29,32
459,398,139,2025-06-21,28
460,886,56,2024-11-04,43
461,300,198,2025-01-16,137
462,390,261,2025-04-28,86
463,926,162,2025-03-05,1
464,888,273,2025-04-07,96
465,191,102,2023-08-16,98
466,990,235,2024-04-13,154
467,949,12,2023-09-12,156
468,254,272,2024-06-07,19
469,342,251,2024-10-26,64
470,763,81,2025-02-13,50
471,356,181,2024-11-06,101
472,641,155,2025-07-10,31
473,514,142,2023-09-20,250
474,641,132,2025-06-08,187
475,912,16,2024-09-20,135
476,972,144,2024-07-25,92
477,156,175,2023-10-28,146
478,673,71,2024-02-15,154
479,748,196,2025-01-31,187
480,984,117,2023-08-21,62
481,247,294,2023-10-08,240
482,437,160,2023-08-16,92
483,338,230,2024-08-08,76
484,135,106,2024-08-17,196
485,595,278,2024-01-10,168
486,884,71,2024-12-06,220
487,706,269,2024-04-17,108
488,441,75,2024-06-19,81
489,940,81,2024-07-24,179
490,70,286,2024-03-11,10
491,972,61,2025-03-18,31
492,326,75,2025-05-10,122
493,784,164,2025-05-30,239
494,985,211,2024-01-12,57
495,454,141,2023-08-05,114
496,798,97,2025-07-12,225
497,135,95,2023-08-31,204
498,781,137,2023-08-09,19
499,581,119,2025-03-11,199
500,238,119,2025-03-18,7
501,368,41,2025-04-10,101
502,138,258,2023-12-19,4
503,481,192,2024-09-06,41
504,873,199,2024-11-03,142
505,486,71,2025-05-18,202
506,198,116,2024-05-09,202
507,419,8,2024-12-30,205
508,974,212,2024-12-31,141
509,761,104,2025-02-12,53
510,68,91,2023-08-03,202
511,888,251,2024-09-21,131
512,888,235,2024-07-28,206
513,438,208,2023-08-29,118
514,623,195,2024-05-15,213
515,404,293,2025-03-05,142
516,550,269,2024-05-08,181
517,534,56,2025-01-10,6
518,468,22,2023-10-25,248
519,532,276,2024-06-17,173
520,753,21,2025-01-14,27
521,397,265,2024-06-15,41
522,195,150,2024-09-18,153
523,408,156,2023-11-04,181
524,473,86,2023-10-17,1
525,302,28,2024-06-24,19
526,926,73,2023-10-19,149
527,850,232,2025-06-15,250
528,740,257,2024-11-09,73
529,185,300,2025-06-20,13
530,139,202,2024-04-30,212
531,332,231,2024-04-18,242
532,184,233,2023-12-17,39
533,919,104,2024-04-11,215
534,93,129,2024-06-23,121
535,709,84,2025-07-02,133
536,94,59,2023-09-02,19
537,650,186,2024-01-20,158
538,537,197,2024-01-16,100
539,627,82,2023-09-29,184
540,564,195,2024-10-19,176
541,787,88,2023-07-27,198
542,580,77,2024-01-12,39
543,890,75,2024-06-04,210
544,788,27,2025-02-19,178
545,316,159,2025-02-23,186
546,296,93,2025-06-08,6
547,921,68,2025-04-07,15
548,4,130,2025-03-27,31
549,470,255,2024-09-08,248
550,557,3,2024-10-03,199
551,904,253,2023-08-24,225
552,223,244,2025-04-02,8
553,420,227,2023-07-31,54
554,616,4,2025-05-28,11
555,904,281,2025-01-29,21
556,635,286,2024-01-30,79
557,51,95,2025-04-11,182
558,57,179,2023-09-02,222
559,149,17,2023-09-17,234
560,859,153,2023-09-02,234
561,943,45,2023-10-26,9
562,112,214,2024-06-24,114
563,166,146,2023-12-07,193
564,677,294,2024-02-24,241
565,182,234,2023-08-22,245
566,369,19,2024-03-19,180
567,787,154,2024-04-16,227
568,378,195,2024-10-29,145
569,777,219,2024-12-09,205
570,67,150,2025-06-10,192
571,138,63,2024-01-25,206
572,338,270,2024-03-03,70
573,538,108,2023-10-28,87
574,627,30,2024-11-01,197
575,586,271,2024-05-23,88
576,496,148,2024-07-25,168
577,624,163,2024-12-11,197
578,539,295,2023-10-23,212
579,363,67,2024-12-10,96
580,577,255,2023-09-17,245
581,747,255,2023-09-17,20
582,828,93,2024-01-30,157
583,239,149,2025-07-17,51
584,2,61,2024-09-14,228
585,477,61,2023-12-26,235
586,819,213,2024-08-07,22
587,47,171,2025-01-17,23
588,574,109,2025-02-10,146
589,656,104,2025-04-11,26
590,261,35,2024-04-22,116
591,308,260,2025-06-16,188
592,332,4,2025-06-29,9
593,703,171,2025-05-17,18
594,406,292,2024-01-07,91
595,984,15,2024-06-28,16
596,199,170,2025-01-23,67
597,945,246,2024-03-11,248
598,817,19,2024-04-30,97
599,494,80,2025-03-17,1
600,914,275,2024-09-20,164
601,474,212,2024-03-03,90
602,856,267,2025-05-24,187
603,579,162,2024-12-08,65
604,549,10,2024-01-25,9
605,592,170,2024-09-01,130
606,68,77,2025-06-12,177
607,861,16,2024-02-12,45
608,385,274,2024-03-23,70
609,585,200,2025-01-11,72
610,610,60,2024-09-12,102
611,723,162,2024-08-14,189
612,279,212,2023-10-09,182
613,509,122,2023-08-30,99
614,463,155,2024-04-14,30
615,538,155,2025-06-18,42
616,115,192,2024-06-03,16
617,797,104,2025-01-17,20
618,455,260,2024-11-14,113
619,819,248,2024-07-31,121
620,158,98,2024-02-22,72
621,946,248,2023-09-18,235
622,318,168,2023-12-25,24
623,788,51,2025-06-27,93
624,693,68,2023-11-03,122
625,742,19,2025-05-03,186
626,397,268,2024-08-27,142
627,5,160,2024-01-15,175
628,704,45,2024-03-12,49
629,479,24,2025-02-15,156
630,534,160,2024-09-21,30
631,592,160,2023-12-30,148
632,329,103,2023-10-23,211
633,294,142,2024-05-04,13
634,327,226,2025-02-02,220
635,280,77,2025-04-14,167
636,281,59,2025-03-23,249
637,982,287,2023-11-07,98
638,105,106,2023-08-16,148
639,359,282,2024-01-18,66
640,278,73,2025-01-12,200
641,588,126,2024-06-25,237
642,73,160,2024-12-05,53
643,914,174,2025-03-04,45
644,455,26,2024-07-06,132
645,30,242,2023-10-16,86
646,109,197,2023-08-05,98
647,89,219,2024-08-10,32
648,184,229,2025-04-29,161
649,365,160,2023-08-15,162
650,838,102,2024-02-14,39
651,81,239,2024-02-20,218
652,135,48,2024-10-18,206
653,100,234,2024-05-13,117
654,701,239,2024-03-09,227
655,238,115,2025-04-22,143
656,882,133,2023-09-23,24
657,402,94,2023-09-04,107
658,808,167,2024-02-21,55
659,500,16,2025-05-13,196
660,487,58,2024-11-04,208
661,491,237,2024-05-13,4
662,290,179,2024-08-07,18
663,589,66,2023-08-03,75
664,106,208,2025-05-20,9
665,334,285,2024-05-12,174
666,812,155,2024-05-13,23
667,473,206,2024-06-28,158
668,424,123,2023-08-23,215
669,250,281,2024-01-10,176
670,998,247,2023-12-26,85
671,68,175,2024-05-09,69
672,834,221,2023-12-10,23
673,581,176,2024-12-13,139
674,711,121,2024-06-18,25
675,679,40,2024-09-05,191
676,857,250,2023-08-29,218
677,607,238,2024-12-13,249
678,569,50,2024-03-13,37
679,181,158,2023-08-13,103
680,72,56,2024-09-12,230
681,790,195,2025-03-03,55
682,507,32,2024-04-15,180
683,223,72,2025-07-16,8
684,925,1,2023-08-09,149
685,677,77,2025-06-25,111
686,545,150,2024-11-03,153
687,631,296,2025-02-25,32
688,201,106,2025-06-12,93
689,307,292,2024-04-06,62
690,941,223,2025-07-05,85
691,92,299,2025-04-23,99
692,627,262,2025-06-23,185
693,868,66,2024-02-08,250
694,64,190,2025-04-09,241
695,992,28,2025-02-24,204
696,721,287,2024-10-21,99
697,113,145,2024-01-04,67
698,241,222,2025-02-27,199
699,404,163,2023-08-10,200
700,416,196,2024-04-09,176
701,559,109,2025-02-02,186
702,487,72,2025-04-24,71
703,569,197,2024-11-13,218
704,861,214,2024-06-21,101
705,296,65,2025-05-22,217
706,12,37,2024-06-16,238
707,148,250,2025-03-18,56
708,999,70,2025-02-05,153
709,141,213,2025-07-10,135
710,916,218,2025-02-10,40
711,185,233,2025-02-23,68
712,435,283,2023-09-02,202
713,394,182,2025-04-07,171
714,191,218,2023-10-12,146
715,8,296,2024-09-21,117
716,868,122,2024-05-16,123
717,276,211,2025-01-30,5
718,591,188,2025-07-13,165
719,39,291,2024-12-27,223
720,722,189,2024-02-28,63
